event,id,source_path,page,context
include,OLP-0001,content/open-logic-about.tex,1,normal
include,OLP-0002,content/content.tex,23,normal
include,OLP-0003,content/sets-functions-relations/sets-functions-relations-complete.tex,24,normal
include,OLP-0004,content/sets-functions-relations/sets/sets.tex,26,normal
include,OLP-0005,content/sets-functions-relations/sets/basics.tex,27,normal
include,OLP-0006,content/sets-functions-relations/sets/subsets.tex,28,normal
include,OLP-0007,content/sets-functions-relations/sets/important-sets.tex,29,normal
include,OLP-0008,content/sets-functions-relations/sets/unions-and-intersections.tex,30,normal
include,OLP-0009,content/sets-functions-relations/sets/pairs-and-products.tex,33,normal
include,OLP-0010,content/sets-functions-relations/sets/russells-paradox.tex,35,normal
include,OLP-0011,content/sets-functions-relations/relations/relations-complete.tex,37,normal
include,OLP-0012,content/sets-functions-relations/relations/relations-as-sets.tex,38,normal
include,OLP-0013,content/sets-functions-relations/relations/reflections.tex,40,normal
include,OLP-0014,content/sets-functions-relations/relations/special-properties.tex,41,normal
include,OLP-0015,content/sets-functions-relations/relations/equivalence-relations.tex,42,normal
include,OLP-0016,content/sets-functions-relations/relations/orders.tex,43,normal
include,OLP-0017,content/sets-functions-relations/relations/graphs.tex,45,normal
include,OLP-0018,content/sets-functions-relations/relations/trees.tex,46,normal
include,OLP-0019,content/sets-functions-relations/relations/operations.tex,48,normal
include,OLP-0020,content/sets-functions-relations/functions/functions.tex,49,normal
include,OLP-0021,content/sets-functions-relations/functions/function-basics.tex,50,normal
include,OLP-0022,content/sets-functions-relations/functions/function-kinds.tex,52,normal
include,OLP-0023,content/sets-functions-relations/functions/functions-relations.tex,53,normal
include,OLP-0024,content/sets-functions-relations/functions/inverses.tex,55,normal
include,OLP-0025,content/sets-functions-relations/functions/composition.tex,57,normal
include,OLP-0026,content/sets-functions-relations/functions/partial-functions.tex,58,normal
include,OLP-0027,content/sets-functions-relations/size-of-sets/size-of-sets-complete.tex,59,normal
include,OLP-0028,content/sets-functions-relations/size-of-sets/introduction.tex,60,normal
include,OLP-0029,content/sets-functions-relations/size-of-sets/enumerability.tex,60,normal
include,OLP-0030,content/sets-functions-relations/size-of-sets/zig-zag.tex,64,normal
include,OLP-0031,content/sets-functions-relations/size-of-sets/pairing.tex,65,normal
include,OLP-0032,content/sets-functions-relations/size-of-sets/pairing-alt.tex,66,normal
include,OLP-0033,content/sets-functions-relations/size-of-sets/non-enumerability.tex,68,normal
include,OLP-0034,content/sets-functions-relations/size-of-sets/reduction.tex,71,normal
include,OLP-0035,content/sets-functions-relations/size-of-sets/equinumerous-sets.tex,72,normal
include,OLP-0036,content/sets-functions-relations/size-of-sets/comparing-size.tex,73,normal
include,OLP-0037,content/sets-functions-relations/size-of-sets/schroder-bernstein.tex,75,normal
include,OLP-0038,content/sets-functions-relations/size-of-sets/enumerability-alt.tex,76,normal
